Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A_50 Spectral Count	A_55 Spectral Count	A_56 Spectral Count	A_57 Spectral Count	A_61 Spectral Count	A_62 Spectral Count	A_72 Spectral Count	A_75 Spectral Count	A_76 Spectral Count	A_77 Spectral Count	A_78 Spectral Count	A_81 Spectral Count	A_82 Spectral Count	A_83 Spectral Count	G_50 Spectral Count	G_55 Spectral Count	G_56 Spectral Count	G_57 Spectral Count	G_61 Spectral Count	G_62 Spectral Count	G_72 Spectral Count	G_75 Spectral Count	G_76 Spectral Count	G_77 Spectral Count	G_78 Spectral Count	G_81 Spectral Count	G_82 Spectral Count	G_83 Spectral Count	A_50 Unique Spectral Count	A_55 Unique Spectral Count	A_56 Unique Spectral Count	A_57 Unique Spectral Count	A_61 Unique Spectral Count	A_62 Unique Spectral Count	A_72 Unique Spectral Count	A_75 Unique Spectral Count	A_76 Unique Spectral Count	A_77 Unique Spectral Count	A_78 Unique Spectral Count	A_81 Unique Spectral Count	A_82 Unique Spectral Count	A_83 Unique Spectral Count	G_50 Unique Spectral Count	G_55 Unique Spectral Count	G_56 Unique Spectral Count	G_57 Unique Spectral Count	G_61 Unique Spectral Count	G_62 Unique Spectral Count	G_72 Unique Spectral Count	G_75 Unique Spectral Count	G_76 Unique Spectral Count	G_77 Unique Spectral Count	G_78 Unique Spectral Count	G_81 Unique Spectral Count	G_82 Unique Spectral Count	G_83 Unique Spectral Count	A_50 Total Spectral Count	A_55 Total Spectral Count	A_56 Total Spectral Count	A_57 Total Spectral Count	A_61 Total Spectral Count	A_62 Total Spectral Count	A_72 Total Spectral Count	A_75 Total Spectral Count	A_76 Total Spectral Count	A_77 Total Spectral Count	A_78 Total Spectral Count	A_81 Total Spectral Count	A_82 Total Spectral Count	A_83 Total Spectral Count	G_50 Total Spectral Count	G_55 Total Spectral Count	G_56 Total Spectral Count	G_57 Total Spectral Count	G_61 Total Spectral Count	G_62 Total Spectral Count	G_72 Total Spectral Count	G_75 Total Spectral Count	G_76 Total Spectral Count	G_77 Total Spectral Count	G_78 Total Spectral Count	G_81 Total Spectral Count	G_82 Total Spectral Count	G_83 Total Spectral Count	A_50 Intensity	A_55 Intensity	A_56 Intensity	A_57 Intensity	A_61 Intensity	A_62 Intensity	A_72 Intensity	A_75 Intensity	A_76 Intensity	A_77 Intensity	A_78 Intensity	A_81 Intensity	A_82 Intensity	A_83 Intensity	G_50 Intensity	G_55 Intensity	G_56 Intensity	G_57 Intensity	G_61 Intensity	G_62 Intensity	G_72 Intensity	G_75 Intensity	G_76 Intensity	G_77 Intensity	G_78 Intensity	G_81 Intensity	G_82 Intensity	G_83 Intensity	A_50 MaxLFQ Intensity	A_55 MaxLFQ Intensity	A_56 MaxLFQ Intensity	A_57 MaxLFQ Intensity	A_61 MaxLFQ Intensity	A_62 MaxLFQ Intensity	A_72 MaxLFQ Intensity	A_75 MaxLFQ Intensity	A_76 MaxLFQ Intensity	A_77 MaxLFQ Intensity	A_78 MaxLFQ Intensity	A_81 MaxLFQ Intensity	A_82 MaxLFQ Intensity	A_83 MaxLFQ Intensity	G_50 MaxLFQ Intensity	G_55 MaxLFQ Intensity	G_56 MaxLFQ Intensity	G_57 MaxLFQ Intensity	G_61 MaxLFQ Intensity	G_62 MaxLFQ Intensity	G_72 MaxLFQ Intensity	G_75 MaxLFQ Intensity	G_76 MaxLFQ Intensity	G_77 MaxLFQ Intensity	G_78 MaxLFQ Intensity	G_81 MaxLFQ Intensity	G_82 MaxLFQ Intensity	G_83 MaxLFQ Intensity	Indistinguishable Proteins
tr|W5PKX5|W5PKX5_SHEEP	W5PKX5	W5PKX5_SHEEP	QDPR	224	Ovis aries OX=9940	4:Protein predicted	Quinoid dihydropteridine reductase	1.0	0.999	7	90	90	90	4	6	10	5	9	5	4	4	5	5	5	4	7	2	2	0	0	3	0	1	2	0	0	1	1	3	1	1	4	6	10	5	9	5	4	4	5	5	5	4	7	2	2	0	0	3	0	1	2	0	0	1	1	3	1	1	4	6	10	5	9	5	4	4	5	5	5	4	7	2	2	0	0	3	0	1	2	0	0	1	1	3	1	1	150471.88	176940.19	209439.64	189240.1	188469.39	141907.66	167033.6	125385.32	101550.77	131055.63	112095.44	176347.19	172054.27	14990.12	30289.992	0.0	0.0	53059.438	0.0	13979.342	48535.668	0.0	19509.816	13036.267	11060.057	111798.96	13157.32	17566.465	62042.27	66111.836	62794.586	73666.59	60903.742	61646.812	69270.59	49753.926	43604.527	53022.008	48344.93	68404.82	60504.105	0.0	17426.398	0.0	0.0	23771.014	0.0	0.0	28038.805	0.0	0.0	0.0	0.0	48252.297	0.0	0.0	
tr|W5PKY1|W5PKY1_SHEEP	W5PKY1	W5PKY1_SHEEP	HNMT	304	Ovis aries OX=9940	4:Protein predicted	Histamine N-methyltransferase	1.0	0.999	6	31	31	31	0	1	2	0	0	0	0	0	0	0	0	0	0	1	2	7	1	4	0	2	1	1	0	2	3	0	1	3	0	1	2	0	0	0	0	0	0	0	0	0	0	1	2	7	1	4	0	2	1	1	0	2	3	0	1	3	0	1	2	0	0	0	0	0	0	0	0	0	0	1	2	7	1	4	0	2	1	1	0	2	3	0	1	3	0.0	20119.191	18602.191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13839.006	38017.703	74524.28	24718.592	79411.8	0.0	25466.84	18544.557	20806.63	0.0	15047.441	19335.006	0.0	8712.423	50894.5	0.0	14778.03	10983.472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19951.264	22092.803	0.0	28294.28	0.0	18525.084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22466.977	
tr|W5PKY9|W5PKY9_SHEEP	W5PKY9	W5PKY9_SHEEP	MRCL3	172	Ovis aries OX=9940	4:Protein predicted	Myosin regulatory light chain MRCL3	1.0	0.999	8	26	0	93	0	1	1	0	0	1	0	0	1	1	0	0	1	3	1	1	1	2	0	2	1	2	1	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	13	0	0	12	0	0	11	6	0	0	11	7	1	1	1	2	0	2	2	2	1	2	2	6	0	1	0.0	24327.975	23945.393	0.0	0.0	22826.46	0.0	0.0	27292.475	32223.705	14324.643	16892.006	17292.59	56560.62	42279.14	28172.54	21591.494	57514.31	0.0	27501.17	27531.672	22818.518	38305.2	24851.26	27959.982	37866.277	0.0	18140.445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|W5PL19|W5PL19_SHEEP
tr|W5PL05|W5PL05_SHEEP	W5PL05	W5PL05_SHEEP	MICAL1	1074	Ovis aries OX=9940	3:Protein inferred from homology	F-actin monooxygenase	0.8325	0.9977	1	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19716.62	0.0	0.0	0.0	0.0	0.0	0.0	12372.23	9695.525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|W5PL65|W5PL65_SHEEP	W5PL65	W5PL65_SHEEP	COPE	308	Ovis aries OX=9940	3:Protein inferred from homology	Coatomer subunit epsilon	1.0	0.999	2	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	1	3	0	1	0	0.0	0.0	0.0	0.0	4221.8076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16871.537	31079.852	0.0	0.0	0.0	21876.266	0.0	19853.055	0.0	18878.803	39337.883	0.0	19223.117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15983.874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20264.121	0.0	0.0	0.0	
tr|W5PL67|W5PL67_SHEEP	W5PL67	W5PL67_SHEEP	SUCLG2	432	Ovis aries OX=9940	3:Protein inferred from homology	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial	1.0	0.999	8	90	90	90	3	2	5	2	4	1	1	2	5	0	3	2	1	8	4	4	6	1	0	3	4	4	1	8	4	4	6	2	3	2	5	2	4	1	1	2	5	0	3	2	1	8	4	4	6	1	0	3	4	4	1	8	4	4	6	2	3	2	5	2	4	1	1	2	5	0	3	2	1	8	4	4	6	1	0	3	4	4	1	8	4	4	6	2	25487.463	62260.035	47055.63	42692.71	53617.984	17717.037	35231.605	23520.5	42384.305	0.0	78765.42	19797.861	17414.158	117255.016	75292.72	71014.34	118353.26	38268.285	0.0	58237.758	44135.156	57951.227	67145.16	124256.766	90902.914	47104.645	137907.17	40220.96	0.0	21099.145	16347.791	31573.73	24042.752	0.0	0.0	0.0	27489.107	0.0	30649.031	0.0	0.0	26988.598	26480.17	25408.303	36163.89	16943.229	0.0	26208.021	26365.205	25262.879	39641.535	35430.91	31552.328	28125.346	36412.387	23862.854	
tr|W5PL73|W5PL73_SHEEP	W5PL73	W5PL73_SHEEP	CCDC22	626	Ovis aries OX=9940	3:Protein inferred from homology	Coiled-coil domain-containing protein 22	0.9205	0.999	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12442.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|W5PL79|W5PL79_SHEEP	W5PL79	W5PL79_SHEEP		611	Ovis aries OX=9940	3:Protein inferred from homology	Multifunctional fusion protein	1.0	0.999	2	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	1	0	2	2	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34029.598	18956.75	0.0	0.0	0.0	41539.086	0.0	20729.682	7253.928	18294.959	38722.32	0.0	24173.973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20836.902	0.0	0.0	0.0	0.0	24932.824	0.0	0.0	0.0	0.0	22967.71	0.0	0.0	0.0	
tr|W5PL84|W5PL84_SHEEP	W5PL84	W5PL84_SHEEP	EHD1	489	Ovis aries OX=9940	4:Protein predicted	EH domain containing 1	1.0	0.999	5	15	11	15	0	4	0	0	0	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	79578.445	0.0	0.0	0.0	0.0	0.0	20993.752	106020.234	0.0	17346.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12559.079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21303.84	0.0	0.0	0.0	0.0	0.0	0.0	25416.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|W5PL89|W5PL89_SHEEP	W5PL89	W5PL89_SHEEP	GSR	420	Ovis aries OX=9940	4:Protein predicted	Glutathione-disulfide reductase	1.0	0.999	7	66	19	66	0	1	1	1	2	0	0	0	0	0	2	1	5	4	3	3	9	3	0	3	3	4	3	4	4	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	1	0	1	1	2	1	2	2	0	1	2	0	1	1	1	2	0	0	0	0	0	2	1	5	4	3	3	9	3	0	3	3	4	3	4	4	0	3	7	0.0	40689.754	35397.25	16482.81	24209.605	0.0	0.0	0.0	0.0	0.0	47262.703	14978.877	31487.324	84772.84	104195.984	92184.016	243396.66	88898.83	0.0	103220.59	116213.16	100563.375	120675.68	102766.58	157746.67	0.0	122171.85	231528.73	0.0	19750.768	15677.983	0.0	19358.191	0.0	0.0	0.0	0.0	0.0	22737.578	0.0	25401.123	34739.95	44026.473	39820.81	80632.99	38575.01	0.0	42546.547	47294.82	42689.2	54739.875	42308.258	55231.37	0.0	51389.09	77870.0	
tr|W5PLB7|W5PLB7_SHEEP	W5PLB7	W5PLB7_SHEEP	PGLYRP1	205	Ovis aries OX=9940	3:Protein inferred from homology	Peptidoglycan-recognition protein	1.0	0.999	2	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58497.125	0.0	0.0	0.0	0.0	0.0	17639.227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|W5PLB9|W5PLB9_SHEEP	W5PLB9	W5PLB9_SHEEP	PSMD11	427	Ovis aries OX=9940	3:Protein inferred from homology	Proteasome 26S subunit, non-ATPase 11	1.0	0.999	2	13	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	1	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	1	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	1	0	3	1	0	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17767.084	0.0	0.0	0.0	15007.032	17041.24	16194.637	0.0	32529.725	18630.74	0.0	32136.709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16966.021	0.0	0.0	16821.479	0.0	
tr|W5PLD5|W5PLD5_SHEEP	W5PLD5	W5PLD5_SHEEP	CNN2	309	Ovis aries OX=9940	3:Protein inferred from homology	Calponin	1.0	0.999	8	47	47	47	1	2	0	0	6	1	0	0	1	0	5	2	1	8	2	2	0	2	0	2	5	1	0	2	2	1	1	0	1	2	0	0	6	1	0	0	1	0	5	2	1	8	2	2	0	2	0	2	5	1	0	2	2	1	1	0	1	2	0	0	6	1	0	0	1	0	5	2	1	8	2	2	0	2	0	2	5	1	0	2	2	1	1	0	15118.178	38026.594	0.0	0.0	75415.52	11090.167	0.0	0.0	10078.559	0.0	90176.984	25215.727	13468.439	128102.336	25915.979	12078.522	0.0	37574.105	0.0	23582.5	78024.19	15372.923	0.0	26576.777	28599.441	10547.842	9511.362	0.0	0.0	14137.5	0.0	0.0	19702.258	0.0	0.0	0.0	0.0	0.0	18749.393	14345.849	9218.936	21527.365	14552.667	0.0	0.0	21498.727	0.0	13471.751	23266.098	0.0	0.0	15107.147	16175.974	0.0	0.0	0.0	
tr|W5PLE9|W5PLE9_SHEEP	W5PLE9	W5PLE9_SHEEP	ERP29	260	Ovis aries OX=9940	4:Protein predicted	Endoplasmic reticulum resident protein 29	1.0	0.999	7	102	102	102	2	3	5	3	3	2	4	2	3	1	3	2	2	7	6	6	3	6	0	4	5	3	2	8	4	2	4	7	2	3	5	3	3	2	4	2	3	1	3	2	2	7	6	6	3	6	0	4	5	3	2	8	4	2	4	7	2	3	5	3	3	2	4	2	3	1	3	2	2	7	6	6	3	6	0	4	5	3	2	8	4	2	4	7	72019.72	42239.656	56823.43	52572.46	82327.75	54348.645	48638.805	59521.57	53826.152	37344.688	75206.805	49606.3	43114.04	172628.28	162517.06	117915.914	155729.27	217549.66	0.0	127237.06	136086.92	117349.09	83715.36	171952.94	137243.9	61920.36	112908.78	209155.02	45447.082	26027.492	30966.78	32814.566	39795.19	34108.062	30722.57	37498.96	33995.992	0.0	40469.85	30954.975	27222.986	55670.12	74463.086	49761.86	74236.56	85876.35	0.0	58021.957	57545.23	54259.316	48253.004	69972.445	60903.45	37834.996	53443.867	90782.79	
tr|W5PLF4|W5PLF4_SHEEP	W5PLF4	W5PLF4_SHEEP	SGCD	289	Ovis aries OX=9940	3:Protein inferred from homology	Sarcoglycan delta	0.8853	0.9985	1	3	3	3	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	15988.183	0.0	0.0	0.0	22703.604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|W5PLJ1|W5PLJ1_SHEEP	W5PLJ1	W5PLJ1_SHEEP	DARS1	501	Ovis aries OX=9940	3:Protein inferred from homology	Aspartate--tRNA ligase, cytoplasmic	1.0	0.999	2	4	4	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0.0	28748.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8778.962	0.0	0.0	0.0	0.0	10716.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11066.294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|W5PLJ6|W5PLJ6_SHEEP	W5PLJ6	W5PLJ6_SHEEP		134	Ovis aries OX=9940	4:Protein predicted	Cytochrome b5 heme-binding domain-containing protein	0.9205	0.999	1	4	4	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.0	0.0	6353.5156	0.0	7007.191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11041.722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|W5PLJ8|W5PLJ8_SHEEP	W5PLJ8	W5PLJ8_SHEEP	ARL6IP1	144	Ovis aries OX=9940	4:Protein predicted	ADP ribosylation factor like GTPase 6 interacting protein 1	0.9199	0.999	1	14	14	14	0	1	0	0	0	1	0	1	0	0	2	0	1	0	1	1	0	0	0	0	1	0	0	3	1	0	1	0	0	1	0	0	0	1	0	1	0	0	2	0	1	0	1	1	0	0	0	0	1	0	0	3	1	0	1	0	0	1	0	0	0	1	0	1	0	0	2	0	1	0	1	1	0	0	0	0	1	0	0	3	1	0	1	0	0.0	16460.31	0.0	0.0	0.0	0.0	0.0	23227.346	0.0	0.0	25541.918	0.0	0.0	0.0	17373.791	19983.047	0.0	0.0	0.0	0.0	16688.912	0.0	0.0	16622.148	17851.902	0.0	19237.953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|W5PLM1|W5PLM1_SHEEP	W5PLM1	W5PLM1_SHEEP		282	Ovis aries OX=9940	3:Protein inferred from homology	Ig-like domain-containing protein	0.9946	0.9989	3	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21790.418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|W5PLM2|W5PLM2_SHEEP	W5PLM2	W5PLM2_SHEEP	SUOX	547	Ovis aries OX=9940	4:Protein predicted	Sulfite oxidase	1.0	0.999	4	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	4	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14361.385	0.0	0.0	0.0	0.0	0.0	58548.17	32894.867	0.0	69230.555	29570.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23967.428	17962.53	0.0	20830.63	16146.274	
tr|W5PLN1|W5PLN1_SHEEP	W5PLN1	W5PLN1_SHEEP		102	Ovis aries OX=9940	4:Protein predicted	Nudix hydrolase 3	0.9106	0.9989	1	4	4	4	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	15698.664	0.0	15264.685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13531.7705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|W5PLN8|W5PLN8_SHEEP	W5PLN8	W5PLN8_SHEEP	RPS10	174	Ovis aries OX=9940	3:Protein inferred from homology	Ribosomal protein S10	0.8745	0.9983	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15534.139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|W5PPT7|W5PPT7_SHEEP
tr|W5PLQ6|W5PLQ6_SHEEP	W5PLQ6	W5PLQ6_SHEEP	ARCN1	511	Ovis aries OX=9940	3:Protein inferred from homology	Coatomer subunit delta	1.0	0.999	14	89	89	89	0	0	1	0	0	0	0	0	0	0	0	0	0	12	6	8	6	0	0	8	3	11	1	11	13	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	6	8	6	0	0	8	3	11	1	11	13	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	6	8	6	0	0	8	3	11	1	11	13	0	9	0	0.0	0.0	4458.639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16655.273	0.0	5952.182	140621.48	111811.3	116506.65	85995.82	0.0	0.0	119403.54	35721.703	147264.14	52595.92	97975.86	189698.4	0.0	102400.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20416.15	25705.303	23079.531	21788.896	0.0	0.0	23660.9	23515.11	25978.0	33350.96	24771.81	25151.201	0.0	21757.57	0.0	
